
Tracing route to tfs2.sparkhound.com [13.84.180.165]
over a maximum of 30 hops:

  1    <1 ms    <1 ms    <1 ms  192.168.1.254 
  2    22 ms    45 ms    34 ms  99-14-200-1.lightspeed.btgrla.sbcglobal.net [99.14.200.1] 
  3    21 ms    21 ms    32 ms  99.15.12.1 
  4     *        *        *     Request timed out.
  5    21 ms    21 ms    21 ms  99.176.205.30 
  6    23 ms    23 ms    39 ms  12.83.107.13 
  7    34 ms    43 ms    35 ms  12.122.162.226 
  8    50 ms    58 ms    48 ms  cr2.dlstx.ip.att.net [12.122.2.121] 
  9    33 ms    33 ms    32 ms  12.122.85.197 
 10    32 ms    32 ms    32 ms  206.121.120.82 
 11    43 ms    43 ms    44 ms  be-71-0.ibr02.dfw05.ntwk.msn.net [104.44.8.128] 
 12    42 ms    44 ms    42 ms  be-3-0.ibr02.sn4.ntwk.msn.net [104.44.4.88] 
 13    45 ms    41 ms    41 ms  ae82-0.sn4-96cbe-1b.ntwk.msn.net [104.44.9.91] 
 14     *        *        *     Request timed out.
 15     *        *        *     Request timed out.
 16     *        *        *     Request timed out.
 17     *        *        *     Request timed out.
 18     *        *        *     Request timed out.
 19     *        *        *     Request timed out.
 20     *        *        *     Request timed out.
 21     *        *        *     Request timed out.
 22     *        *        *     Request timed out.
 23     *        *        *     Request timed out.
 24     *        *        *     Request timed out.
 25     *        *        *     Request timed out.
 26     *        *        *     Request timed out.
 27     *        *        *     Request timed out.
 28     *        *        *     Request timed out.
 29     *        *        *     Request timed out.
 30     *        *        *     Request timed out.

Trace complete.
